"","Jenis_Kelamin","MK1","MK2","MK3","MK4","MK5","IK1","IK2","IK3","IK4","IK5","SM1","SM2","SM3","LM1","LM2","LM3","MK_Skor","IK_Skor","SM_Skor","LM_Skor"
"147","L",4,2,2,4,4,2,3,2,3,2,4,3,2,2,4,3,16,12,9,9
"148","L",2,2,2,3,2,2,3,2,2,2,2,2,2,3,4,2,11,11,6,9
"149","L",2,4,2,2,2,2,3,2,2,3,2,2,3,2,3,2,12,12,7,7
"150","L",4,3,2,2,3,3,3,3,2,3,2,2,2,2,2,2,14,14,6,6
"151","P",2,3,3,3,4,1,3,3,2,2,2,2,2,3,2,2,15,11,6,7
"152","P",3,2,4,2,2,2,2,2,2,2,2,2,2,2,3,2,13,10,6,7
"153","P",2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,10,12,6,6
"154","P",3,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,11,9,6,8
"155","P",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,10,10,6,7
"156","P",2,2,2,2,4,2,3,2,2,3,2,3,2,2,2,3,12,12,7,7
"157","P",2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,10,11,6,6
"158","P",4,4,4,4,4,2,2,3,3,2,2,2,3,3,4,3,20,12,7,10
"159","P",3,4,2,2,4,4,2,2,2,2,2,2,3,2,2,2,15,12,7,6
"160","P",2,2,2,2,2,1,2,2,2,2,3,2,2,4,2,2,10,9,7,8
"161","P",2,2,3,2,2,3,2,3,2,3,2,2,2,3,2,2,11,13,6,7
"162","P",4,2,3,4,2,2,4,2,3,2,3,3,3,2,3,2,15,13,9,7
"163","P",3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,12,11,6,6
"164","P",4,2,4,2,2,3,4,4,4,4,4,4,3,4,4,4,14,19,11,12
"165","P",2,2,2,3,2,4,2,2,2,3,2,2,3,2,2,3,11,13,7,7
"166","P",3,2,2,3,2,2,2,2,2,2,2,3,4,2,3,2,12,10,9,7
"167","P",2,4,2,2,2,2,2,3,2,3,2,2,2,2,2,2,12,12,6,6
"168","P",2,2,2,2,3,3,3,3,2,2,3,2,3,2,2,2,11,13,8,6
"169","P",4,3,4,4,4,3,2,3,3,2,2,2,2,4,2,3,19,13,6,9
"170","P",2,2,2,2,2,3,3,3,2,3,4,4,3,4,2,3,10,14,11,9
"171","P",2,2,2,2,2,2,3,3,3,2,2,3,2,2,3,3,10,13,7,8
"172","P",2,2,3,2,4,1,2,2,2,3,2,2,2,2,2,2,13,10,6,6
"173","P",2,3,4,2,2,3,2,2,3,3,4,2,2,2,2,2,13,13,8,6
"174","P",2,2,3,2,4,2,2,2,2,2,2,2,2,2,2,3,13,10,6,7
"175","P",2,3,2,4,2,2,3,2,2,2,3,2,2,2,2,2,13,11,7,6
"176","P",4,2,2,2,2,2,2,2,2,2,3,2,4,2,2,2,12,10,9,6
"177","P",2,2,3,2,2,1,2,2,2,2,2,2,3,2,2,2,11,9,7,6
"178","P",2,2,2,3,2,2,2,1,2,2,2,2,3,2,2,2,11,9,7,6
"179","P",2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,10,6,6
"180","P",2,2,2,3,3,2,2,2,2,3,4,4,4,2,3,2,12,11,12,7
"181","P",4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,12,9,6,6
"182","P",2,2,2,2,2,1,3,2,2,2,3,3,4,2,2,2,10,10,10,6
"183","P",2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,10,11,6,6
"184","P",2,2,2,2,2,2,2,3,4,3,2,2,2,2,3,2,10,14,6,7
"185","P",3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,11,13,6,6
"186","P",2,3,3,4,4,3,3,4,3,2,4,4,3,4,3,2,16,15,11,9
"187","P",2,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,13,11,6,6
"188","P",2,2,2,2,2,2,4,4,3,3,3,3,2,2,2,2,10,16,8,6
"189","P",2,3,4,4,2,1,2,2,2,2,2,3,2,2,2,2,15,9,7,6
"190","P",2,2,3,2,4,2,4,2,3,2,3,3,2,2,4,2,13,13,8,8
"191","P",2,2,2,2,3,4,2,4,3,4,4,4,3,2,3,2,11,17,11,7
"192","P",2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,11,9,6,6
"193","P",2,2,4,2,4,2,2,3,2,3,2,2,2,3,2,2,14,12,6,7
"194","P",2,4,2,2,2,3,2,4,3,3,2,2,2,2,4,2,12,15,6,8
"195","P",4,4,2,2,2,2,2,1,2,2,2,2,3,2,2,2,14,9,7,6
"196","P",4,3,3,3,4,3,2,3,3,2,3,4,2,2,3,3,17,13,9,8
"197","P",2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,11,10,6,6
"198","P",2,2,2,2,2,1,4,4,3,2,2,3,3,2,2,2,10,14,8,6
"199","P",3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,11,8,6,6
"200","P",2,2,2,2,2,2,3,2,2,2,2,2,4,3,2,2,10,11,8,7
"201","P",2,2,2,2,2,4,4,3,2,4,4,4,2,4,3,3,10,17,10,10
"202","P",2,4,2,3,3,1,2,2,2,2,2,2,4,2,4,4,14,9,8,10
"203","P",2,4,4,4,2,4,2,2,2,2,4,4,4,3,2,3,16,12,12,8
"204","P",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,10,9,6,6
"205","P",4,2,3,3,4,3,2,2,2,2,3,3,3,2,2,4,16,11,9,8
"206","P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6
"207","P",4,4,3,3,4,3,3,2,2,4,2,2,2,3,2,2,18,14,6,7
"208","P",2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,10,12,6,6
"209","P",3,3,2,2,3,2,4,2,2,3,2,2,2,4,4,2,13,13,6,10
"210","P",3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,12,10,7,6
"211","P",2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,10,12,6,7
"212","P",3,4,4,4,2,2,4,4,2,4,3,2,2,2,4,2,17,16,7,8
"213","P",2,2,2,2,2,2,3,4,2,3,2,2,3,3,2,2,10,14,7,7
"214","P",3,4,2,4,4,1,2,2,2,2,2,2,2,2,2,3,17,9,6,7
"215","P",3,2,2,3,2,3,3,2,3,3,3,3,2,3,2,2,12,14,8,7
"216","P",2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,11,11,6,6
"217","P",2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,10,11,6,6
"218","P",2,4,2,4,3,3,4,3,2,2,2,4,2,2,4,2,15,14,8,8
"219","P",2,3,4,4,3,3,2,2,3,3,3,3,4,2,4,3,16,13,10,9
"220","P",3,2,3,2,2,3,2,3,3,2,3,4,3,2,2,2,12,13,10,6
"221","P",2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,10,12,6,7
"222","P",2,2,2,2,2,4,3,2,3,2,4,4,4,4,3,2,10,14,12,9
"223","P",2,2,2,2,2,1,2,3,2,2,2,4,3,2,2,2,10,10,9,6
"224","P",2,3,2,2,3,3,3,2,2,2,2,2,2,2,3,2,12,12,6,7
"225","P",2,2,2,2,2,2,3,2,2,4,2,3,2,2,2,2,10,13,7,6
"226","P",2,2,2,4,2,3,4,3,3,2,2,3,2,2,2,2,12,15,7,6
"227","P",3,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,12,9,6,6
"228","P",2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,11,11,6,6
"229","P",2,4,2,4,4,2,2,1,2,2,2,2,2,2,2,2,16,9,6,6
"230","P",4,2,3,2,2,2,3,1,2,3,2,2,2,2,2,2,13,11,6,6
"231","P",2,2,3,4,4,2,3,1,2,2,2,3,2,4,4,3,15,10,7,11
"232","P",3,2,4,2,2,2,3,3,2,2,2,2,2,2,3,3,13,12,6,8
"233","P",2,2,3,4,2,3,2,2,2,2,2,2,2,2,2,2,13,11,6,6
"234","P",2,2,2,2,2,3,2,3,4,3,2,2,2,2,2,2,10,15,6,6
"235","P",2,2,2,2,2,3,4,4,2,4,2,2,2,2,2,2,10,17,6,6
"236","P",2,2,2,3,2,3,2,1,2,2,2,2,4,2,2,2,11,10,8,6
"237","P",2,2,2,2,2,1,3,3,2,3,3,3,2,3,3,2,10,12,8,8
"238","P",4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,12,11,6,6
"239","P",2,2,2,2,2,2,3,3,4,2,2,3,2,3,2,3,10,14,7,8
"240","P",2,2,4,2,3,2,2,2,2,2,2,2,3,2,2,2,13,10,7,6
"241","P",2,3,2,2,3,3,2,2,2,2,3,3,2,3,3,2,12,11,8,8
"242","P",3,4,3,2,4,2,2,3,2,2,2,3,2,2,3,3,16,11,7,8
"243","P",2,2,2,2,2,3,4,2,2,3,2,3,2,3,2,2,10,14,7,7
"244","P",2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,12,11,6,6
"245","P",2,3,2,3,3,2,2,3,2,2,2,2,2,3,2,2,13,11,6,7
"246","P",2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,10,9,7,6
"247","P",3,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,11,15,6,6
"248","P",3,3,2,4,2,2,3,2,2,2,2,2,3,2,2,2,14,11,7,6
"249","P",3,2,3,3,2,3,2,2,3,2,2,2,4,2,2,2,13,12,8,6
"250","P",2,2,3,2,3,2,4,2,2,2,2,3,2,2,4,3,12,12,7,9
"251","P",2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,10,10,6,6
"252","P",2,2,2,2,3,1,2,2,2,2,3,2,4,4,2,3,11,9,9,9
"253","P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6
"254","P",2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,12,12,6,6
"255","P",2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,10,11,6,6
"256","P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,10,10,6,7
"257","P",3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,11,11,6,6
"258","P",2,2,2,2,2,2,3,2,3,2,2,2,4,4,2,2,10,12,8,8
"259","P",4,3,3,4,3,2,2,2,2,2,3,2,2,3,2,2,17,10,7,7
"260","P",2,2,2,2,2,2,2,3,2,2,4,2,2,4,4,2,10,11,8,10
"261","P",2,4,2,2,2,2,2,3,2,2,2,3,2,3,2,2,12,11,7,7
"262","P",3,3,4,4,4,1,3,2,2,2,2,3,2,2,2,2,18,10,7,6
"263","P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6
"264","P",2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,10,11,6,6
"265","P",2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,10,11,6,6
"266","P",2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,11,10,6,6
"267","P",3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,11,12,6,6
"268","P",2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,10,12,6,6
"269","P",2,2,2,2,2,3,3,3,4,2,2,2,2,2,2,2,10,15,6,6
"270","P",2,2,3,3,2,2,2,1,2,2,3,2,2,2,2,3,12,9,7,7
"271","P",3,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,11,10,6,6
"272","P",2,2,3,2,2,1,2,1,2,2,2,4,2,2,3,2,11,8,8,7
"273","P",2,4,2,2,2,2,2,3,3,2,2,3,2,2,4,2,12,12,7,8
"274","P",2,2,3,4,3,3,2,2,2,2,2,2,2,2,2,2,14,11,6,6
"275","P",2,2,2,3,3,2,3,1,2,2,2,2,2,2,2,2,12,10,6,6
"276","P",2,3,3,4,3,1,2,1,2,2,2,2,2,2,2,2,15,8,6,6
"277","P",2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,11,10,6,6
"278","P",4,2,2,2,2,2,4,3,3,3,4,3,3,2,3,3,12,15,10,8
"279","P",4,4,2,2,3,3,2,4,3,2,2,2,3,3,2,3,15,14,7,8
"280","P",2,2,3,3,2,1,2,2,2,2,2,2,2,2,4,2,12,9,6,8
"281","P",2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,10,12,6,6
"282","P",2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,10,12,7,6
"283","P",2,2,4,2,3,2,2,3,2,3,4,4,2,2,2,2,13,12,10,6
"284","P",2,2,2,2,2,3,4,3,3,2,2,2,3,2,2,3,10,15,7,7
"285","P",2,3,2,3,4,4,2,2,2,2,3,3,2,2,3,2,14,12,8,7
"286","P",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,10,9,6,6
"287","P",2,2,2,3,2,4,2,4,2,3,2,4,2,4,2,2,11,15,8,8
"288","P",2,2,2,2,3,1,2,2,2,2,2,2,4,2,2,2,11,9,8,6
"289","P",2,3,2,2,2,2,2,2,4,2,2,2,2,3,2,2,11,12,6,7
"290","P",2,4,2,2,2,2,2,3,3,2,2,2,3,4,3,2,12,12,7,9
"291","P",2,2,2,2,2,3,4,3,3,2,3,4,3,2,4,2,10,15,10,8
"292","P",3,4,2,3,2,3,3,3,2,3,2,4,2,3,3,3,14,14,8,9
"293","P",4,2,3,2,4,1,3,2,2,2,4,4,4,3,2,3,15,10,12,8
"294","P",2,2,3,2,2,1,2,1,2,2,2,3,4,2,2,2,11,8,9,6
"295","P",2,2,2,2,4,2,2,2,2,2,4,2,2,3,2,2,12,10,8,7
"296","P",2,2,2,2,2,3,3,2,3,2,2,2,2,2,3,2,10,13,6,7
"297","P",4,4,3,4,3,2,4,2,3,3,2,2,2,2,2,2,18,14,6,6
"298","P",2,4,4,2,3,1,3,1,2,2,2,2,2,3,2,2,15,9,6,7
"299","P",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,10,9,6,6
"300","P",2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,10,11,6,6
